"Master Protein Accessions","conica_chloroplast_1","conica_chloroplast_2","conica_mito_1","conica_mito_2","conica_nuclear_1","conica_nuclear_2"
"Sconica_v3_39863-RA",72,85,46,34,58,47
"Sconica_v3_39869-RA",21,24,2,4,11,11
"Sconica_v3_39886-RA",20,16,3,5,12,20
"Sconica_v3_39889-RA",6,4,0,0,1,0
"Sconica_v3_39923-RA",2,4,5,5,1,1
"Sconica_v3_39924-RA",10,12,0,0,5,1
"Sconica_v3_39954-RA",3,1,7,1,6,2
"Sconica_v3_39957-RA",12,13,0,1,7,9
"Sconica_v3_39986-RA",2,2,0,0,1,1
"Sconica_v3_40018-RA",1,1,0,0,0,0
"Sconica_v3_40072-RA",14,22,4,3,13,10
"Sconica_v3_40085-RA",2,2,0,0,1,0
"Sconica_v3_40090-RA",3,5,0,0,5,1
"Sconica_v3_40139-RA",1,1,0,0,0,1
"Sconica_v3_40257-RA",2,3,0,0,0,1
"Sconica_v3_40263-RA",14,11,0,0,10,0
"Sconica_v3_40403-RA",5,6,0,0,5,1
"Sconica_v3_40466-RA",1,0,5,2,1,4
"Sconica_v3_40561-RA",3,3,0,0,3,4
"Sconica_v3_40596-RA",6,8,6,10,7,9
"Sconica_v3_40689-RA",12,14,2,2,2,3
"Sconica_v3_40700-RA",2,4,0,0,0,3
"Sconica_v3_40706-RA",8,4,0,0,3,4
"Sconica_v3_40731-RA",1,3,0,0,2,2
"Sconica_v3_40806-RA",3,3,0,0,1,1
"Sconica_v3_40912-RA",10,9,8,9,10,8
"Sconica_v3_41034-RA",1,1,0,0,1,0
"Sconica_v3_41235-RA",3,1,0,0,0,0
"Sconica_v3_41303-RA",8,9,0,0,2,3
"Sconica_v3_41315-RA",6,8,4,6,5,2
"Sconica_v3_41342-RA",14,10,0,0,10,6
"Sconica_v3_41390-RA",1,2,0,0,1,0
"Sconica_v3_41393-RA",1,0,1,1,1,1
"Sconica_v3_41541-RA",1,2,0,0,1,0
"Sconica_v3_41653-RA",1,2,0,0,0,0
"Sconica_v3_41715-RA",7,7,0,0,4,3
"Sconica_v3_41741-RA",26,28,0,0,13,8
"Sconica_v3_41776-RA",2,1,0,0,2,0
"Sconica_v3_41798-RA",5,6,0,0,2,0
"Sconica_v3_41820-RA",1,1,1,4,0,0
"Sconica_v3_41872-RA",2,0,3,4,0,2
"Sconica_v3_41879-RA",4,3,0,0,0,0
"Sconica_v3_41904-RA",7,9,0,0,6,4
"Sconica_v3_41918-RA",7,6,0,0,2,3
"Sconica_v3_41955-RA",1,3,0,0,1,0
"Sconica_v3_41962-RA",5,6,0,0,3,5
"Sconica_v3_42028-RA",34,42,0,0,23,19
"Sconica_v3_42035-RA",3,7,1,2,1,2
"Sconica_v3_42077-RA",6,4,0,0,6,2
"Sconica_v3_42100-RA",2,0,5,5,7,0
"Sconica_v3_42116-RA",17,9,0,0,7,11
"Sconica_v3_42125-RA",3,3,0,0,0,0
"Sconica_v3_42142-RA",1,2,0,0,0,0
"Sconica_v3_42158-RA",1,2,16,15,0,0
"Sconica_v3_42185-RA",7,8,0,1,7,5
"Sconica_v3_42189-RA",2,1,8,6,0,2
"Sconica_v3_42202-RA",7,9,0,0,3,2
"Sconica_v3_42232-RA",12,17,0,0,8,10
"Sconica_v3_42233-RA",4,5,0,0,3,2
"Sconica_v3_42235-RA",6,8,0,0,2,0
"Sconica_v3_42301-RA",25,33,4,2,17,19
"Sconica_v3_42343-RA",12,8,0,1,3,3
"Sconica_v3_42401-RA",5,9,1,0,2,4
"Sconica_v3_42490-RA",28,42,0,1,26,10
"Sconica_v3_42494-RA",4,0,1,0,7,3
"Sconica_v3_42532-RA",5,4,0,0,5,5
"Sconica_v3_42663-RA",4,7,0,0,1,0
"Sconica_v3_42698-RA",2,4,13,13,19,15
"Sconica_v3_42762-RA",6,4,0,0,3,5
"Sconica_v3_42890-RA",3,9,0,0,5,0
"Sconica_v3_42904-RA",5,7,1,0,3,3
"Sconica_v3_42967-RA",1,2,2,0,4,8
"Sconica_v3_43031-RA",1,1,0,0,1,2
"Sconica_v3_43081-RA",11,15,0,0,5,3
"Sconica_v3_43085-RA",2,2,1,0,3,1
"Sconica_v3_43087-RA",4,0,25,20,2,0
"Sconica_v3_43105-RA",8,8,0,0,3,3
"Sconica_v3_43122-RA",5,3,41,47,16,10
"Sconica_v3_43138-RA",1,0,0,0,0,0
"Sconica_v3_43227-RA",1,0,0,0,0,1
"Sconica_v3_43291-RA",5,9,0,0,5,3
"Sconica_v3_43339-RA",35,50,0,3,18,22
"Sconica_v3_43350-RA",2,5,27,30,23,10
"Sconica_v3_43369-RA",8,9,6,4,10,7
"Sconica_v3_43370-RA",22,30,266,283,35,25
"Sconica_v3_43417-RA",13,7,0,0,8,2
"Sconica_v3_43485-RA",9,4,104,77,15,14
"Sconica_v3_43661-RA",3,1,0,1,5,1
"Sconica_v3_43850-RA",1,5,0,0,4,0
"Sconica_v3_43901-RA",59,67,18,12,57,35
"Sconica_v3_44044-RA",8,13,0,0,8,4
"Sconica_v3_44075-RA",1,1,0,0,0,1
"Sconica_v3_44090-RA",2,7,0,0,2,1
"Sconica_v3_44101-RA",12,14,0,1,8,7
"Sconica_v3_44125-RA",1,2,0,0,3,0
"Sconica_v3_44139-RA",4,4,1,0,5,2
"Sconica_v3_44164-RA",2,4,0,0,1,1
"Sconica_v3_44285-RA",1,0,0,0,0,0
"Sconica_v3_44351-RA",1,1,0,0,0,0
"Sconica_v3_44405-RA",9,11,0,0,9,8
"Sconica_v3_44408-RA",2,0,0,0,0,0
"Sconica_v3_44462-RA",2,2,0,1,3,1
"Sconica_v3_44597-RA",33,35,19,16,29,18
"Sconica_v3_44690-RA",2,2,2,1,3,1
"Sconica_v3_44779-RA",1,1,0,0,1,0
"Sconica_v3_44781-RA",4,6,0,0,4,0
"Sconica_v3_45016-RA",1,2,0,0,0,0
"Sconica_v3_45034-RA",3,3,18,14,1,2
"Sconica_v3_45115-RA",13,19,17,10,19,15
"Sconica_v3_45122-RA",1,1,0,0,0,0
"Sconica_v3_45241-RA",2,1,0,0,0,0
"Sconica_v3_45251-RA",3,8,0,5,6,2
"Sconica_v3_45274-RA",2,0,0,0,0,0
"Sconica_v3_45339-RA",1,2,0,0,1,2
"Sconica_v3_45356-RA",3,6,10,5,8,8
"Sconica_v3_45439-RA",1,0,0,0,0,2
"Sconica_v3_45507-RA",4,4,0,0,3,1
"Sconica_v3_45726-RA",3,2,0,0,0,0
"Sconica_v3_45811-RA",5,4,10,5,1,1
"Sconica_v3_45852-RA",7,10,4,6,7,6
"Sconica_v3_45855-RA",12,17,2,1,13,4
"Sconica_v3_45899-RA",9,5,0,0,17,5
"Sconica_v3_45993-RA",1,1,0,0,0,0
"Sconica_v3_46081-RA",16,36,1,0,17,2
"Sconica_v3_46276-RA",13,11,1,0,7,3
"Sconica_v3_46677-RA",4,3,9,0,3,4
"Sconica_v3_46823-RA",4,5,0,0,0,1
"Sconica_v3_46846-RA",1,0,0,1,1,3
"Sconica_v3_46909-RA",11,10,2,4,9,2
"Sconica_v3_46918-RA",3,1,0,0,3,2
"Sconica_v3_47095-RA",3,5,0,0,0,1
"Sconica_v3_47228-RA",1,2,3,2,11,7
"Sconica_v3_47248-RA",1,2,5,4,4,1
"Sconica_v3_47249-RA",9,8,12,16,6,5
"Sconica_v3_47311-RA",14,7,0,0,8,0
"Sconica_v3_47336-RA",6,8,1,1,3,0
"Sconica_v3_47431-RA",1,0,0,0,1,1
"Sconica_v3_47440-RA",4,3,0,0,1,2
"Sconica_v3_47535-RA",9,15,3,2,7,7
"Sconica_v3_47547-RA",10,11,0,0,5,1
"Sconica_v3_47712-RA",18,20,2,3,21,14
"Sconica_v3_47722-RA",8,7,0,0,4,1
"Sconica_v3_47768-RA",1,0,0,0,10,10
"Sconica_v3_47838-RA",2,0,62,64,11,8
"Sconica_v3_47868-RA",2,4,0,0,3,2
"Sconica_v3_47870-RA",13,13,3,2,9,11
"Sconica_v3_47941-RA",1,0,0,1,16,12
"Sconica_v3_47978-RA",10,11,0,0,6,8
"Sconica_v3_48095-RA",2,1,0,0,1,5
"Sconica_v3_48107-RA",4,4,5,5,17,33
"Sconica_v3_48182-RA",3,3,11,10,3,4
"Sconica_v3_48197-RA",8,9,0,0,5,3
"Sconica_v3_48262-RA",20,18,0,0,9,3
"Sconica_v3_48299-RA",16,18,1,1,12,9
"Sconica_v3_48361-RA",1,1,2,4,17,11
"Sconica_v3_48412-RA",2,4,0,0,3,0
"Sconica_v3_48413-RA",4,0,0,0,0,0
"Sconica_v3_48542-RA",1,1,0,0,0,0
"Sconica_v3_48634-RA",12,13,3,1,13,7
"Sconica_v3_48744-RA",2,4,0,0,2,3
"Sconica_v3_48763-RA",2,1,0,0,3,0
"Sconica_v3_48784-RA",1,0,0,0,1,0
"Sconica_v3_48856-RA",5,4,7,7,6,6
"Sconica_v3_48862-RA",2,5,32,19,6,3
"Sconica_v3_48895-RA",16,14,0,0,12,7
"Sconica_v3_48934-RA",10,1,60,45,2,6
"Sconica_v3_48959-RA",4,5,0,0,1,1
"Sconica_v3_48968-RA",12,15,0,0,5,1
"Sconica_v3_48977-RA",2,3,0,0,3,0
"Sconica_v3_49039-RA",1,2,1,0,2,2
"Sconica_v3_49289-RA",5,8,2,4,10,14
"Sconica_v3_49354-RA",34,28,199,186,19,15
"Sconica_v3_49650-RA",1,1,0,0,0,1
"Sconica_v3_49701-RA",1,4,0,0,1,0
"Sconica_v3_49715-RA",2,4,0,0,1,0
"Sconica_v3_49722-RA",60,60,6,13,43,29
"Sconica_v3_50057-RA",1,2,0,0,4,1
"Sconica_v3_50998-RA",6,8,0,0,4,3
"Sconica_v3_51102-RA",8,13,3,2,6,6
"Sconica_v3_51202-RA",1,2,2,3,4,6
"Sconica_v3_51220-RA",1,0,4,4,11,10
"Sconica_v3_51345-RA",2,2,6,4,0,1
"Sconica_v3_51439-RA",3,1,3,1,2,2
"Sconica_v3_51546-RA",6,4,9,10,0,0
"Sconica_v3_51547-RA",6,7,51,43,9,14
"Sconica_v3_51962-RA",9,12,1,1,9,6
"Sconica_v3_52019-RA",2,2,0,1,4,2
"Sconica_v3_52372-RA",2,2,6,6,6,3
"Sconica_v3_52376-RA",29,47,2,0,20,15
"Sconica_v3_52397-RA",33,38,8,5,27,21
"Sconica_v3_52622-RA",2,6,2,0,3,2
"Sconica_v3_52670-RA",5,4,27,22,7,7
"Sconica_v3_52753-RA",1,0,1,1,1,2
"Sconica_v3_52800-RA",6,11,0,0,4,1
"Sconica_v3_52819-RA",14,14,3,0,9,6
"Sconica_v3_52859-RA",6,5,2,2,6,6
"Sconica_v3_52904-RA",2,1,0,1,1,7
"Sconica_v3_53081-RA",1,0,0,0,0,0
"Sconica_v3_53173-RA",11,9,0,1,7,6
"Sconica_v3_53224-RA",12,15,0,0,8,7
"Sconica_v3_53252-RA",4,3,0,0,1,2
"Sconica_v3_53288-RA",1,0,0,1,7,8
"Sconica_v3_53314-RA",1,0,0,0,1,2
"Sconica_v3_53398-RA",10,2,2,2,3,5
"Sconica_v3_53424-RA",1,1,0,0,5,10
"Sconica_v3_53455-RA",19,28,10,6,23,9
"Sconica_v3_53495-RA",1,3,0,0,0,0
"Sconica_v3_53507-RA",2,0,0,0,0,0
"Sconica_v3_53517-RA",1,1,0,1,4,4
"Sconica_v3_53534-RA",22,37,39,15,53,17
"Sconica_v3_53629-RA",1,2,0,0,1,4
"Sconica_v3_53642-RA",15,17,0,1,12,5
"Sconica_v3_53706-RA",1,1,0,4,6,4
"Sconica_v3_53764-RA",1,1,0,1,0,0
"Sconica_v3_53809-RA",2,1,0,0,0,0
"Sconica_v3_53843-RA",17,15,1,0,18,10
"Sconica_v3_53910-RA",10,11,0,0,4,3
"Sconica_v3_53991-RA",12,8,0,1,9,3
"Sconica_v3_54248-RA",3,9,0,0,0,0
"Sconica_v3_54468-RA",12,13,1,0,11,8
"Sconica_v3_54506-RA",4,4,0,1,4,1
"Sconica_v3_54555-RA",2,2,0,0,0,0
"Sconica_v3_54626-RA",2,3,0,0,1,0
"Sconica_v3_54692-RA",6,8,0,0,5,2
"Sconica_v3_54695-RA",4,6,0,0,2,1
"Sconica_v3_54787-RA",8,9,1,0,10,2
"Sconica_v3_55060-RA",1,1,0,0,4,2
"Sconica_v3_55082-RA",7,7,12,23,27,20
"Sconica_v3_55157-RA",2,1,8,6,18,20
"Sconica_v3_55216-RA",2,3,0,0,20,23
"Sconica_v3_55246-RA",2,10,0,0,2,5
"Sconica_v3_55253-RA",7,7,0,0,2,6
"Sconica_v3_55357-RA",10,11,0,0,3,3
"Sconica_v3_55394-RA",5,6,0,0,5,3
"Sconica_v3_55621-RA",1,2,2,8,4,4
"Sconica_v3_55908-RA",3,2,0,0,1,0
"Sconica_v3_55991-RA",14,16,10,15,17,15
"Sconica_v3_56131-RA",1,4,0,0,2,0
"Sconica_v3_56384-RA",10,12,12,10,10,5
"Sconica_v3_56765-RA",6,5,0,1,3,3
"Sconica_v3_56779-RA",15,34,0,0,24,9
"Sconica_v3_56881-RA",1,1,0,0,0,0
"Sconica_v3_57167-RA",5,3,0,0,2,0
"Sconica_v3_57229-RA",3,3,0,0,8,7
"Sconica_v3_57238-RA",1,2,0,0,0,1
"Sconica_v3_57263-RA",1,4,1,1,2,2
"Sconica_v3_57367-RA",5,9,0,0,10,5
"Sconica_v3_57394-RA",5,7,0,0,5,2
"Sconica_v3_57423-RA",9,12,1,0,5,2
"Sconica_v3_57471-RA",12,14,6,4,10,9
"Sconica_v3_57472-RA",2,6,3,2,2,1
"Sconica_v3_57529-RA",5,6,0,0,2,0
"Sconica_v3_57532-RA",1,1,0,0,1,0
"Sconica_v3_57552-RA",4,3,59,59,6,3
"Sconica_v3_57553-RA",10,19,2,3,2,3
"Sconica_v3_57571-RA",11,16,0,0,11,5
"Sconica_v3_57574-RA",34,36,21,12,31,19
"Sconica_v3_57646-RA",4,0,3,2,2,3
"Sconica_v3_57663-RA",4,5,8,2,2,3
"Sconica_v3_57731-RA",1,0,0,0,0,0
"Sconica_v3_57739-RA",1,0,0,0,2,2
"Sconica_v3_57819-RA",3,3,22,22,0,2
"Sconica_v3_57820-RA",7,10,0,0,5,8
"Sconica_v3_57841-RA",1,0,0,0,0,0
"Sconica_v3_57842-RA",17,14,0,0,9,7
"Sconica_v3_57893-RA",2,5,1,0,3,1
"Sconica_v3_57894-RA",3,5,0,0,3,2
"Sconica_v3_57897-RA",4,8,0,0,3,4
"Sconica_v3_57910-RA",2,1,0,0,7,4
"Sconica_v3_57913-RA",12,5,1,1,8,8
"Sconica_v3_57964-RA",8,11,9,13,9,4
"Sconica_v3_57968-RA",38,40,142,136,31,34
"Sconica_v3_58007-RA",1,0,0,0,0,0
"Sconica_v3_58027-RA",2,1,0,3,3,5
"Sconica_v3_58042-RA",3,3,0,1,3,0
"Sconica_v3_58176-RA",1,1,0,0,0,0
"Sconica_v3_58180-RA",9,7,0,0,2,7
"Sconica_v3_58194-RA",7,7,46,43,6,3
"Sconica_v3_58228-RA",45,55,21,19,52,27
"Sconica_v3_58267-RA",1,1,0,0,0,0
"Sconica_v3_58284-RA",1,1,13,7,5,3
"Sconica_v3_58289-RA",4,4,0,0,4,3
"Sconica_v3_58307-RA",1,2,0,0,0,0
"Sconica_v3_58314-RA",1,0,0,0,4,8
"Sconica_v3_58344-RA",2,0,0,0,0,0
"Sconica_v3_58350-RA",2,6,3,1,3,2
"Sconica_v3_58364-RA",1,1,0,0,4,11
"Sconica_v3_58389-RA",3,3,1,1,3,4
"Sconica_v3_58395-RA",17,10,73,72,9,9
"Sconica_v3_58398-RA",5,4,0,0,1,0
"Sconica_v3_58405-RA",2,2,0,0,1,0
"mito_atp1",66,29,326,301,32,52
"mito_atp4",11,6,31,32,7,9
"mito_atp6",6,0,1,4,1,1
"mito_atp8",1,0,26,26,4,4
"mito_atp9",29,7,30,39,11,2
"mito_cox2",2,1,12,10,4,3
"plastid_accD",4,5,2,1,3,1
"plastid_atpA",119,109,21,26,138,88
"plastid_atpB",199,176,25,38,144,104
"plastid_atpE",10,16,0,3,9,9
"plastid_atpF",30,34,11,11,23,17
"plastid_atpH",7,8,0,0,9,1
"plastid_atpI",1,1,2,1,8,3
"plastid_clpP",19,21,7,5,14,14
"plastid_ndhA",3,3,0,0,3,4
"plastid_ndhB",2,1,0,0,1,0
"plastid_ndhD",1,0,0,0,1,1
"plastid_ndhF",9,8,0,0,7,7
"plastid_ndhH",20,19,0,1,15,10
"plastid_ndhI",8,7,1,1,6,4
"plastid_ndhJ",6,6,0,1,4,3
"plastid_ndhK",12,9,0,0,8,6
"plastid_petA",41,37,6,15,34,31
"plastid_petB",10,8,2,2,11,7
"plastid_petD",4,6,0,2,24,4
"plastid_psaA",34,35,11,13,46,26
"plastid_psaB",143,108,8,12,97,113
"plastid_psaC",24,18,6,4,8,3
"plastid_psbA",67,53,9,15,42,26
"plastid_psbB",127,128,17,23,109,86
"plastid_psbC",98,96,11,10,57,52
"plastid_psbD",33,35,5,5,33,29
"plastid_psbE",17,18,2,2,17,6
"plastid_psbF",1,0,2,2,6,1
"plastid_psbH",3,7,2,2,2,0
"plastid_psbJ",1,1,0,0,0,0
"plastid_rbcL",327,408,204,187,410,239
"plastid_rpl14",11,14,2,5,9,5
"plastid_rpl16",6,9,4,2,6,2
"plastid_rpl2",12,17,1,3,15,5
"plastid_rpl20",6,7,0,1,6,4
"plastid_rpl22",10,12,2,0,12,4
"plastid_rpl32",1,2,2,1,3,1
"plastid_rpl33",1,1,1,4,2,0
"plastid_rpoA",8,4,0,0,1,1
"plastid_rpoB",9,10,0,0,1,0
"plastid_rpoC1",2,4,0,0,1,0
"plastid_rpoC2",8,6,0,0,1,0
"plastid_rps11",2,7,1,1,6,2
"plastid_rps12",3,1,0,1,3,1
"plastid_rps14",3,3,1,2,4,2
"plastid_rps15",5,4,1,1,3,2
"plastid_rps16",2,5,1,2,4,3
"plastid_rps18",5,10,1,2,4,3
"plastid_rps19",9,9,4,1,5,5
"plastid_rps2",4,6,3,2,5,3
"plastid_rps3",12,15,6,6,14,6
"plastid_rps4",15,14,4,2,13,7
"plastid_rps7",10,11,2,1,8,7
"plastid_rps8",6,6,2,1,5,2
"plastid_ycf1",10,12,3,2,6,6
"plastid_ycf2",9,5,0,1,2,2
"plastid_ycf3",3,5,0,3,1,2
"plastid_ycf4",2,3,0,0,2,2
"Chr01-anno1.g58427.t1",0,1,7,5,2,1
"Chr01-anno1.g58654.t1",0,1,4,2,0,0
"Chr01-anno1.g62681.t1",0,1,9,0,3,1
"Chr01-anno1.g63569.t1",0,1,0,0,0,0
"Chr01-anno1.g63570.t1",0,1,0,0,0,0
"Chr01-anno1.g63585.t1",0,1,2,1,0,7
"Chr01-anno1.g63716.t1",0,1,0,0,0,0
"Chr01-anno1.g64626.t1",0,1,0,0,0,0
"Chr01-anno2.g44207.t1",0,2,0,0,1,0
"Chr01-anno2.g49775.t1",0,1,0,0,1,1
"Chr01-anno2.g50685.t1",0,1,0,0,0,0
"Chr01-long_reads1.PB.155.2",0,1,0,0,0,0
"Chr01-long_reads1.PB.359.1",0,1,7,2,0,0
"Chr01-long_reads1.PB.96.3",0,2,0,0,0,0
"Chr02-anno1.g20341.t1",0,1,0,0,0,0
"Chr02-anno1.g20400.t1",0,1,0,0,0,0
"Chr02-anno1.g20955.t1",0,1,3,3,1,1
"Chr02-anno1.g21555.t1",0,1,0,0,0,0
"Chr02-anno1.g24952.t1",0,2,0,0,1,2
"Chr02-anno1.g25612.t1",0,3,0,0,0,0
"Chr02-anno1.g25923.t1",0,1,0,0,1,0
"Chr02-anno1.g26061.t1",0,1,0,0,0,0
"Chr02-anno1.g26333.t1",0,1,0,0,0,0
"Chr02-anno1.g26688.t1",0,1,0,0,2,2
"Chr02-anno1.g26910.t1",0,1,0,1,3,4
"Chr02-anno1.g27390.t1",0,2,0,8,0,0
"Chr02-anno1.g27471.t1",0,1,0,0,0,0
"Chr02-anno2.g15293.t1",0,1,0,0,0,0
"Chr02-anno2.g16177.t1",0,2,10,11,3,2
"Chr02-anno2.g7980.t1",0,5,0,0,4,0
"Chr03-anno1.g51636.t1",0,1,0,0,5,7
"Chr03-anno1.g51691.t1",0,1,0,0,0,0
"Chr03-anno1.g52246.t1",0,1,0,0,0,0
"Chr03-anno1.g52660.t1",0,1,0,0,0,0
"Chr03-anno1.g55888.t1",0,1,28,20,2,3
"Chr03-anno1.g56276.t1",0,1,6,5,5,5
"Chr03-anno1.g56801.t1",0,1,14,15,5,5
"Chr03-anno1.g57517.t1",0,1,1,2,0,0
"Chr03-anno1.g57617.t1",0,1,10,7,1,1
"Chr03-anno1.g57620.t1",0,1,0,0,0,0
"Chr03-anno1.g57640.t1",0,1,17,13,31,22
"Chr03-anno1.g57644.t1",0,1,0,0,1,0
"Chr03-anno2.g17980.t2",0,3,0,0,1,0
"Chr03-anno2.g20351.t1",0,4,0,0,0,1
"Chr04-anno1.g45563.t1",0,1,0,0,1,1
"Chr04-anno1.g46486.t1",0,1,0,0,0,0
"Chr04-anno1.g46782.t1",0,1,0,0,4,2
"Chr04-anno1.g46970.t1",0,1,3,3,0,0
"Chr04-anno1.g47357.t1",0,2,2,4,11,10
"Chr04-anno1.g49161.t1",0,1,1,1,0,0
"Chr05-anno1.g11673.t1",0,1,0,0,3,0
"Chr05-anno1.g11705.t1",0,1,0,0,1,0
"Chr05-anno1.g11887.t1",0,1,29,29,5,8
"Chr05-anno1.g12251.t2",0,1,0,0,0,0
"Chr05-anno1.g12590.t1",0,1,0,0,4,5
"Chr05-anno1.g6278.t1",0,2,0,0,0,0
"Chr05-anno1.g7209.t1",0,1,0,0,1,0
"Chr05-anno2.g67329.t1",0,1,0,0,0,0
"Chr05-anno2.g68743.t1",0,2,0,0,0,0
"Chr06-anno1.g13591.t1",0,1,1,0,6,1
"Chr06-anno1.g14036.t1",0,1,0,0,0,0
"Chr06-anno1.g18213.t1",0,1,0,0,0,0
"Chr06-anno1.g19452.t1",0,1,1,1,51,2
"Chr06-anno1.g19493.t1",0,1,0,0,0,0
"Chr06-anno1.g20177.t1",0,1,0,0,0,0
"Chr06-anno2.g51775.t1",0,1,0,0,1,0
"Chr06-anno2.g57297.t1",0,2,1,0,0,0
"Chr06-anno2.g57621.t1",0,1,0,0,0,2
"Chr06-anno2.g58181.t1",0,1,0,0,0,0
"Chr07-anno1.g1314.t1",0,2,0,0,0,2
"Chr07-anno1.g272.t1",0,1,0,0,0,0
"Chr07-anno1.g2829.t1",0,3,0,0,0,0
"Chr07-anno1.g4211.t1",0,1,27,32,12,13
"Chr07-anno1.g4931.t1",0,1,28,22,4,6
"Chr07-anno1.g6158.t1",0,1,0,0,0,0
"Chr07-anno1.g703.t1",0,1,0,0,0,0
"Chr07-anno2.g63971.t1",0,1,0,0,0,1
"Chr07-anno2.g65581.t1",0,1,0,0,0,1
"Chr07-long_reads1.PB.3736.1",0,1,0,0,0,0
"Chr07-long_reads1.PB.3864.6",0,1,3,6,14,14
"Chr07-long_reads1.PB.3986.1",0,1,0,0,0,0
"Chr08-anno1.g32859.t1",0,3,0,0,0,2
"Chr08-anno1.g32968.t1",0,2,1,3,5,3
"Chr08-anno1.g34635.t1",0,3,4,1,10,0
"Chr08-anno1.g35835.t1",0,1,2,0,0,0
"Chr08-anno1.g35854.t1",0,1,0,0,0,0
"Chr08-anno1.g36524.t1",0,1,0,0,0,0
"Chr08-anno1.g38135.t1",0,1,0,0,0,1
"Chr08-anno1.g38263.t1",0,1,0,0,2,1
"Chr08-anno1.g38416.t1",0,1,0,0,0,0
"Chr08-anno1.g39001.t1",0,2,0,0,4,3
"Chr08-anno1.g39076.t1",0,1,0,0,0,0
"Chr08-anno1.g39494.t1",0,2,11,5,20,5
"Chr08-anno2.g4561.t1",0,1,0,0,0,0
"Chr08-anno2.g854.t1",0,1,0,0,0,0
"Chr08-long_reads1.PB.4465.2",0,1,0,0,0,0
"Chr08-long_reads1.PB.4495.1",0,2,0,0,3,1
"Chr09-anno1.g39795.t1",0,1,3,3,2,2
"Chr09-anno1.g39857.t1",0,1,0,0,4,2
"Chr09-anno1.g40754.t1",0,2,17,14,3,2
"Chr09-anno1.g43321.t1",0,1,0,0,0,0
"Chr09-anno1.g43891.t1",0,1,0,0,1,1
"Chr09-long_reads1.PB.4989.1",0,3,0,0,0,0
"Chr10-anno1.g28575.t1",0,2,0,0,0,0
"Chr10-anno1.g28947.t1",0,1,0,0,0,0
"Chr10-anno1.g29307.t1",0,1,0,0,0,1
"Chr10-anno1.g32199.t1",0,1,0,0,0,0
"Chr10-anno1.g32576.t1",0,1,0,0,0,0
"Chr10-anno2.g36981.t1",0,1,0,0,0,1
"Chr10-long_reads1.PB.5233.1",0,1,0,0,0,0
"FUN_002453-T1",0,1,0,0,0,0
"FUN_002879-T1",0,1,0,0,2,0
"FUN_003066-T1",0,1,17,13,0,2
"FUN_004446-T1",0,1,0,0,0,0
"FUN_005002-T1",0,1,0,0,5,1
"FUN_005100-T1",0,1,0,0,0,0
"FUN_005720-T1",0,1,0,0,3,1
"FUN_011156-T1",0,1,21,25,2,7
"FUN_016934-T1",0,2,2,0,0,0
"FUN_019134-T1",0,1,3,2,1,0
"FUN_019843-T1",0,1,0,0,0,0
"FUN_020307-T1",0,1,0,0,0,0
"FUN_020315-T1",0,1,0,0,0,0
"FUN_022383-T1",0,1,0,0,0,0
"FUN_024569-T1",0,1,1,0,1,1
"FUN_024571-T1",0,1,0,0,0,0
"FUN_024741-T1",0,1,0,1,1,0
"FUN_027228-T1",0,1,0,0,15,15
"FUN_028189-T1",0,3,0,0,0,0
"FUN_028287-T1",0,1,1,4,16,26
"FUN_035659-T1",0,2,0,0,0,0
"FUN_036680-T1",0,1,0,0,0,0
"FUN_036855-T1",0,1,20,15,2,1
"FUN_037561-T1",0,1,0,0,0,0
"FUN_037718-T1",0,1,0,0,0,0
"FUN_039263-T1",0,1,0,0,0,0
"FUN_039636-T1",0,1,0,0,0,0
"FUN_040311-T1",0,1,22,27,1,5
"FUN_040327-T1",0,1,0,0,2,0
"FUN_043199-T1",0,1,0,0,0,0
"FUN_045159-T1",0,1,0,0,0,0
"FUN_046442-T1",0,1,0,0,0,0
"FUN_047049-T1",0,1,0,0,0,0
"FUN_048751-T1",0,1,0,0,0,0
"FUN_049077-T1",0,1,0,0,1,0
"FUN_049934-T1",0,3,20,25,4,4
"FUN_051469-T1",0,1,16,20,12,11
"FUN_051512-T1",0,1,0,0,0,0
"Sconica_v3_01870-RA",0,1,0,0,0,0
"Sconica_v3_02337-RA",0,1,0,0,0,0
"Sconica_v3_02608-RA",0,2,4,4,6,6
"Sconica_v3_03295-RA",0,1,0,0,0,0
"Sconica_v3_03582-RA",0,1,57,52,6,9
"Sconica_v3_03608-RA",0,1,0,0,0,0
"Sconica_v3_04355-RA",0,2,6,10,28,34
"Sconica_v3_05158-RA",0,1,0,0,0,0
"Sconica_v3_05602-RA",0,1,0,0,0,0
"Sconica_v3_05988-RA",0,1,0,0,2,0
"Sconica_v3_06206-RA",0,2,32,37,8,9
"Sconica_v3_06423-RA",0,1,0,0,0,1
"Sconica_v3_08968-RA",0,1,0,0,0,0
"Sconica_v3_09629-RA",0,2,99,96,12,15
"Sconica_v3_09693-RA",0,1,8,4,8,10
"Sconica_v3_09931-RA",0,1,3,7,12,15
"Sconica_v3_10005-RA",0,1,2,6,10,5
"Sconica_v3_10138-RA",0,1,0,0,2,4
"Sconica_v3_10160-RA",0,2,0,0,2,0
"Sconica_v3_10252-RA",0,1,7,5,2,3
"Sconica_v3_10450-RA",0,1,0,0,1,2
"Sconica_v3_10546-RA",0,1,0,0,0,0
"Sconica_v3_11314-RA",0,1,25,22,2,4
